"country","code","region","year","life_exp","gdp_per_cap","pop"
"Afghanistan","afg","Asia",2015,53.8,1925,32526562
"Albania","alb","Europe",2015,78,10620,2896679
"Algeria","dza","Africa",2015,76.4,13434,39666519
"Angola","ago","Africa",2015,59.6,7615,25021974
"Antigua and Barbuda","atg","Americas",2015,76.4,21049,91818
"Argentina","arg","Americas",2015,76.5,17344,43416755
"Armenia","arm","Europe",2015,74.7,7763,3017712
"Australia","aus","Asia",2015,82.3,44056,23968973
"Austria","aut","Europe",2015,81.3,44401,8544586
"Azerbaijan","aze","Europe",2015,72.9,16986,9753968
"Bahamas","bhs","Americas",2015,73.7,22818,388019
"Bahrain","bhr","Asia",2015,79.1,44138,1377237
"Bangladesh","bgd","Asia",2015,70.4,3161,160995642
"Barbados","brb","Americas",2015,75.7,12984,284215
"Belarus","blr","Europe",2015,71,17415,9495826
"Belgium","bel","Europe",2015,80.5,41240,11299192
"Belize","blz","Americas",2015,71.7,8501,359287
"Benin","ben","Africa",2015,62.3,1830,10879829
"Bhutan","btn","Asia",2015,72.7,7983,774830
"Bolivia","bol","Americas",2015,73.2,6295,10724705
"Bosnia and Herzegovina","bih","Europe",2015,78.9,9833,3810416
"Botswana","bwa","Africa",2015,58.7,17196,2262485
"Brazil","bra","Americas",2015,74.4,15441,207847528
"Brunei","brn","Asia",2015,77.1,73003,423188
"Bulgaria","bgr","Europe",2015,74.8,16371,7149787
"Burkina Faso","bfa","Africa",2015,60.9,1654,18105570
"Burundi","bdi","Africa",2015,61.4,777,11178921
"Cambodia","khm","Asia",2015,69.4,3267,15577899
"Cameroon","cmr","Africa",2015,59.4,2897,23344179
"Canada","can","Americas",2015,81.7,43294,35939927
"Cape Verde","cpv","Africa",2015,72.9,6514,520502
"Central African Republic","caf","Africa",2015,49.6,599,4900274
"Chad","tcd","Africa",2015,57.4,2191,14037472
"Chile","chl","Americas",2015,79.4,22465,17948141
"China","chn","Asia",2015,76.2,13334,1376048943
"Colombia","col","Americas",2015,78,12761,48228704
"Comoros","com","Africa",2015,68.1,1472,788474
"Congo, Dem. Rep.","cod","Africa",2015,60.8,809,77266814
"Congo, Rep.","cog","Africa",2015,61.5,6220,4620330
"Costa Rica","cri","Americas",2015,80.3,14132,4807850
"Cote d'Ivoire","civ","Africa",2015,59.1,3491,22701556
"Cuba","cub","Americas",2015,78.2,21291,11389562
