"country","code","region","year","life_exp","gdp_per_cap","pop"
"Afghanistan","afg","Asia",1800,28.21,603,3280000
"Albania","alb","Europe",1800,35.4,667,410445
"Algeria","dza","Africa",1800,28.82,716,2503218
"Angola","ago","Africa",1800,26.98,618,1567028
"Antigua and Barbuda","atg","Americas",1800,33.54,757,37000
"Argentina","arg","Americas",1800,33.2,1507,534000
"Armenia","arm","Europe",1800,34,514,413326
"Australia","aus","Asia",1800,34.05,815,351014
"Austria","aut","Europe",1800,34.4,1848,3205587
"Azerbaijan","aze","Europe",1800,29.17,775,879960
"Bahamas","bhs","Americas",1800,35.18,1445,27350
"Bahrain","bhr","Asia",1800,30.3,1235,64474
"Bangladesh","bgd","Asia",1800,25.5,876,19227358
"Barbados","brb","Americas",1800,32.12,913,81729
"Belarus","blr","Europe",1800,36.2,608,2355081
"Belgium","bel","Europe",1800,40,2412,3138137
"Belize","blz","Americas",1800,26.5,579,25526
"Benin","ben","Africa",1800,31,597,636559
"Bhutan","btn","Asia",1800,28.8,629,89989
"Bolivia","bol","Americas",1800,33,854,1100000
"Bosnia and Herzegovina","bih","Europe",1800,35.1,669,851806
"Botswana","bwa","Africa",1800,33.6,397,121000
"Brazil","bra","Americas",1800,32,1109,3639636
"Brunei","brn","Asia",1800,29.2,1512,2128
"Bulgaria","bgr","Europe",1800,35.8,1089,1992320
"Burkina Faso","bfa","Africa",1800,29.2,480,1665421
"Burundi","bdi","Africa",1800,31.5,418,899097
"Cambodia","khm","Asia",1800,35,903,2090000
"Cameroon","cmr","Africa",1800,28.75,626,1860054
"Canada","can","Americas",1800,39,1314,645526
"Cape Verde","cpv","Africa",1800,33.8,529,55716
"Central African Republic","caf","Africa",1800,30,424,479444
"Chad","tcd","Africa",1800,30.9,418,1432000
"Chile","chl","Americas",1800,32,1026,771447
"China","chn","Asia",1800,32,985,321675013
"Colombia","col","Americas",1800,32,963,1206000
"Comoros","com","Africa",1800,32.1,696,56346
"Congo, Dem. Rep.","cod","Africa",1800,31.6,485,5163819
"Congo, Rep.","cog","Africa",1800,32.7,575,314465
"Costa Rica","cri","Americas",1800,30.21,775,51987
"Cote d'Ivoire","civ","Africa",1800,31.16,812,1088530
"Cuba","cub","Americas",1800,32.2,864,345043
"Cyprus","cyp","Europe",1800,38.5,853,184392
"Czech Republic","cze","Europe",1800,34.95,1915,5516349
"Denmark","dnk","Europe",1800,37.41,2013,1062514
"Djibouti","dji","Africa",1800,29.9,752,22848
"Dominican Republic","dom","Americas",1800,29.9,667,89000
"Ecuador","ecu","Americas",1800,32.9,529,5e+05
"Egypt","egy","Africa",1800,33,791,4243515
"El Salvador","slv","Americas",1800,28.7,974,248000
"Equatorial Guinea","gnq","Africa",1800,29.8,356,80377
"Eritrea","eri","Africa",1800,30.2,532,205010
"Estonia","est","Europe",1800,36.14,938,334136
"Ethiopia","eth","Africa",1800,29.7,523,2948990
"Fiji","fji","Asia",1800,26.1,785,130533
"Finland","fin","Europe",1800,36.57,1244,977662
"France","fra","Europe",1800,33.97,1803,29355111
"Gabon","gab","Africa",1800,30.6,390,158227
"Gambia","gmb","Africa",1800,28.8,813,103274
"Georgia","geo","Europe",1800,31.87,543,1072178
"Germany","deu","Europe",1800,38.37,1639,22886919
"Ghana","gha","Africa",1800,28,696,2016034
"Greece","grc","Europe",1800,36.6,1371,2151155
